algorithm,size_mb,key_bits,num_objects,avg_encryption_s,std_encryption_s,avg_decryption_s,std_decryption_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
AES,0.000976562,128,31,0.000007,0.000005,0.000007,0.000003,0.000040,0.000012,0.000013,0.000007
AES,0.00976562,128,31,0.000028,0.000024,0.000024,0.000007,0.000046,0.000011,0.000015,0.000016
AES,0.0488281,128,31,0.000101,0.000029,0.000104,0.000030,0.000071,0.000032,0.000019,0.000011
AES,0.0976562,128,31,0.000198,0.000057,0.000203,0.000041,0.000091,0.000018,0.000020,0.000007
AES,0.488281,128,31,0.000907,0.000120,0.000971,0.000164,0.000292,0.000011,0.000090,0.000036
AES,0.976562,128,31,0.001772,0.000099,0.001910,0.000153,0.000554,0.000023,0.000180,0.000075
AES,1,128,31,0.001820,0.000138,0.001914,0.000182,0.000586,0.000115,0.000192,0.000091
AES,10,128,31,0.018074,0.001260,0.020465,0.002127,0.005819,0.000368,0.002257,0.000734
AES,50,128,31,0.111240,0.001246,0.130733,0.000859,0.279570,0.357626,0.020430,0.000583
AES,100,128,31,0.221429,0.000993,0.261565,0.001386,0.139239,0.079646,0.040017,0.000606
AES,1000,128,31,2.213861,0.010017,2.632491,0.021109,2.683837,3.071428,0.418854,0.012976
AES,0.000976562,256,31,0.000007,0.000003,0.000007,0.000002,0.000037,0.000008,0.000012,0.000005
AES,0.00976562,256,31,0.000025,0.000006,0.000026,0.000005,0.000049,0.000031,0.000013,0.000009
AES,0.0488281,256,31,0.000109,0.000024,0.000116,0.000032,0.000068,0.000025,0.000015,0.000006
AES,0.0976562,256,31,0.000218,0.000048,0.000232,0.000057,0.000093,0.000032,0.000024,0.000024
AES,0.488281,256,31,0.001012,0.000040,0.001064,0.000075,0.000294,0.000010,0.000078,0.000003
AES,0.976562,256,31,0.002020,0.000049,0.002173,0.000167,0.000557,0.000033,0.000157,0.000006
AES,1,256,31,0.002068,0.000078,0.002205,0.000161,0.000560,0.000053,0.000168,0.000035
AES,10,256,31,0.020787,0.001058,0.022907,0.001919,0.005878,0.000273,0.002049,0.000044
AES,50,256,31,0.125589,0.001260,0.143986,0.000660,0.102614,0.074044,0.020064,0.000224
AES,100,256,31,0.248664,0.000871,0.287983,0.001214,0.282270,0.524853,0.041773,0.005918
AES,1000,256,31,2.488733,0.004342,2.893071,0.006515,3.310602,3.664898,0.422019,0.009732
CHACHA20,0.000976562,256,31,0.000007,0.000006,0.000004,0.000001,0.000034,0.000004,0.000009,0.000002
CHACHA20,0.00976562,256,31,0.000028,0.000007,0.000024,0.000000,0.000040,0.000003,0.000011,0.000001
CHACHA20,0.0488281,256,31,0.000118,0.000005,0.000112,0.000002,0.000059,0.000003,0.000013,0.000001
CHACHA20,0.0976562,256,31,0.000234,0.000008,0.000222,0.000003,0.000086,0.000009,0.000017,0.000001
CHACHA20,0.488281,256,31,0.001165,0.000023,0.001120,0.000019,0.000302,0.000022,0.000083,0.000019
CHACHA20,0.976562,256,31,0.002385,0.000261,0.002297,0.000090,0.000555,0.000028,0.000179,0.000047
CHACHA20,1,256,31,0.002370,0.000090,0.002283,0.000043,0.000532,0.000035,0.001334,0.006579
CHACHA20,10,256,31,0.023796,0.000872,0.023900,0.000996,0.005904,0.000082,0.002292,0.000702
CHACHA20,50,256,31,0.141555,0.000720,0.141754,0.000871,0.088110,0.155577,0.023229,0.000443
CHACHA20,100,256,31,0.282841,0.001564,0.282726,0.001471,0.301966,0.344037,0.043784,0.000950
CHACHA20,1000,256,31,2.804524,0.013151,2.825600,0.013550,2.649109,3.183281,0.411471,0.009513
